DST,
Exchange capacity (Ah),Normalized capacity (%)
0,100.0492611
182.9145729,97.48768473
478.3919598,96.30541872
701.5075377,95.12315271
902.5125628,93.84236453
1095.477387,92.56157635
1296.482412,91.08374384
1334.673367,90.88669951
1382.914573,89.90147783
1425.125628,88.71921182
1463.316583,85.86206897
